service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
10,1,1,1,1,1,0,0,20210829,20220226
11,0,0,0,0,0,0,0,20210829,20220226
12,0,0,0,0,0,1,0,20210829,20220226
13,0,0,0,0,0,0,1,20210829,20220226
16,1,1,1,1,1,0,0,20210829,20220226
17,0,0,0,0,0,0,0,20210829,20220226
18,0,0,0,0,0,1,0,20210829,20220226
19,0,0,0,0,0,0,1,20210829,20220226
22,1,1,1,1,1,0,0,20210829,20220226
23,0,0,0,0,0,0,0,20210829,20220226
24,0,0,0,0,0,1,0,20210829,20220226
25,0,0,0,0,0,0,1,20210829,20220226
28,1,1,1,1,1,0,0,20210829,20220226
29,0,0,0,0,0,0,0,20210829,20220226
30,0,0,0,0,0,1,0,20210829,20220226
31,0,0,0,0,0,0,1,20210829,20220226
40,1,1,1,1,1,0,0,20210829,20220226
41,0,0,0,0,0,0,0,20210829,20220226
42,0,0,0,0,0,1,0,20210829,20220226
43,0,0,0,0,0,0,1,20210829,20220226
46,1,1,1,1,1,0,0,20210829,20220226
47,0,0,0,0,0,0,0,20210829,20220226
48,0,0,0,0,0,1,0,20210829,20220226
49,0,0,0,0,0,0,1,20210829,20220226
52,1,1,1,1,1,0,0,20210829,20220226
53,0,0,0,0,0,0,0,20210829,20220226
54,0,0,0,0,0,1,0,20210829,20220226
55,0,0,0,0,0,0,1,20210829,20220226
