service_id,date,exception_type
10,20210906,2
13,20210906,1
16,20210906,2
19,20210906,1
22,20210906,2
25,20210906,1
28,20210906,2
31,20210906,1
40,20210906,2
43,20210906,1
46,20210906,2
49,20210906,1
52,20210906,2
55,20210906,1
10,20211125,2
13,20211125,1
16,20211125,2
19,20211125,1
22,20211125,2
25,20211125,1
28,20211125,2
31,20211125,1
40,20211125,2
43,20211125,1
46,20211125,2
49,20211125,1
52,20211125,2
55,20211125,1
10,20211126,2
11,20211126,1
16,20211126,2
17,20211126,1
22,20211126,2
23,20211126,1
28,20211126,2
29,20211126,1
40,20211126,2
41,20211126,1
46,20211126,2
47,20211126,1
52,20211126,2
53,20211126,1
10,20211224,2
11,20211224,1
16,20211224,2
17,20211224,1
22,20211224,2
23,20211224,1
28,20211224,2
29,20211224,1
40,20211224,2
41,20211224,1
46,20211224,2
47,20211224,1
52,20211224,2
53,20211224,1
10,20211225,2
13,20211225,1
16,20211225,2
19,20211225,1
22,20211225,2
25,20211225,1
28,20211225,2
31,20211225,1
40,20211225,2
43,20211225,1
46,20211225,2
49,20211225,1
52,20211225,2
55,20211225,1
10,20211227,2
11,20211227,1
16,20211227,2
17,20211227,1
22,20211227,2
23,20211227,1
28,20211227,2
29,20211227,1
40,20211227,2
41,20211227,1
46,20211227,2
47,20211227,1
52,20211227,2
53,20211227,1
10,20211228,2
11,20211228,1
16,20211228,2
17,20211228,1
22,20211228,2
23,20211228,1
28,20211228,2
29,20211228,1
40,20211228,2
41,20211228,1
46,20211228,2
47,20211228,1
52,20211228,2
53,20211228,1
10,20211229,2
11,20211229,1
16,20211229,2
17,20211229,1
22,20211229,2
23,20211229,1
28,20211229,2
29,20211229,1
40,20211229,2
41,20211229,1
46,20211229,2
47,20211229,1
52,20211229,2
53,20211229,1
10,20211230,2
11,20211230,1
16,20211230,2
17,20211230,1
22,20211230,2
23,20211230,1
28,20211230,2
29,20211230,1
40,20211230,2
41,20211230,1
46,20211230,2
47,20211230,1
52,20211230,2
53,20211230,1
10,20211231,2
11,20211231,1
16,20211231,2
17,20211231,1
22,20211231,2
23,20211231,1
28,20211231,2
29,20211231,1
40,20211231,2
41,20211231,1
46,20211231,2
47,20211231,1
52,20211231,2
53,20211231,1
10,20220101,2
13,20220101,1
16,20220101,2
19,20220101,1
22,20220101,2
25,20220101,1
28,20220101,2
31,20220101,1
40,20220101,2
43,20220101,1
46,20220101,2
49,20220101,1
52,20220101,2
55,20220101,1
10,20220117,2
11,20220117,1
16,20220117,2
17,20220117,1
22,20220117,2
23,20220117,1
28,20220117,2
29,20220117,1
40,20220117,2
41,20220117,1
46,20220117,2
47,20220117,1
52,20220117,2
53,20220117,1
10,20220221,2
11,20220221,1
16,20220221,2
17,20220221,1
22,20220221,2
23,20220221,1
28,20220221,2
29,20220221,1
40,20220221,2
41,20220221,1
46,20220221,2
47,20220221,1
52,20220221,2
53,20220221,1
